Product Name,Sales,Quantity,Profit,Margen (%),Tipo
 10  4 1 8  x 9 1 2  Recycled Envelopes,286.67,37,115.3,40.22046255276101,Otros
 10  4 1 8  x 9 1 2  Security Tint Envelopes,146.69,21,64.86,44.215692957938515,Otros
 10 4 1 8  x 9 1 2  Premium Diagonal Seam Envelopes,176.29,13,63.75,36.162005785920925,Otros
 10 Gummed Flap White Envelopes  100 Box,41.3,11,16.77,40.60532687651332,Oculto
 10 Self Seal White Envelopes,108.68,10,52.120000000000005,47.957305852042694,Otros
 10 White Business Envelopes 4 1 8 x 9 1 2,488.90999999999997,32,223.12,45.63621116360885,Otros
 6 3 4 Gummed Flap White Envelopes,71.28,9,24.94,34.988776655443324,Otros
 While you Were Out  Message Book  One Form per Page,25.22,8,10.39,41.19746233148295,Oculto
1 4 Fold Party Design Invitations   White Envelopes  24 8 1 2  X 11  Cards  25 Env  Pack,49.980000000000004,7,22.71,45.43817527010804,Oculto
1 7 Cubic Foot Compact  Cube  Office Refrigerators,2706.08,14,578.68,21.384438006267366,Otros
12 1 2 Diameter Round Wall Clock,551.46,36,91.10000000000001,16.51978384651652,Otros
12 Colored Short Pencils,18.2,8,3.02,16.593406593406595,Otros
14 7 8 x 11 Blue Bar Computer Printout Paper,422.76,10,172.94,40.90737061216766,Otros
2300 Heavy Duty Transfer File Systems by Perma,344.72,16,20.98,6.0860988628452075,Otros
24 Capacity Maxi Data Binder Racks  Pearl,3537.24,19,536.91,15.178783458289512,Otros
24 Hour Round Wall Clock,487.51,27,180.01999999999998,36.92642202211236,Otros
3 6 Cubic Foot Counter Height Office Refrigerator,2946.19,18,-872.0699999999999,-29.599923969601416,Trampa
3 ring staple pack,42.11,26,16.69,39.634291142246504,Oculto
36X48 HARDFLOOR CHAIRMAT,369.25,21,-40.489999999999995,-10.965470548408936,Otros
3D Systems Cube Printer  2nd Generation  Magenta,14299.89,11,3717.9700000000003,25.999990209714902,Otros
3D Systems Cube Printer  2nd Generation  White,2339.98,3,-468.0,-20.00017094163198,Trampa
3M Hangers With Command Adhesive,108.03999999999999,33,36.0,33.32099222510181,Otros
3M Office Air Cleaner,259.8,10,90.93,35.0,Otros
3M Organizer Strips,83.16,26,10.16,12.21741221741222,Otros
3M Polarizing Light Filter Sleeves,216.34,14,75.35,34.829435148377556,Otros
3M Polarizing Task Lamp with Clamp Arm  Light Gray,2191.68,16,569.84,26.000146006716314,Otros
3M Replacement Filter for Office Air Cleaner for 20  x 33  Room,303.36,14,-20.469999999999995,-6.747758438818563,Otros
4009 Highlighters,8.04,6,2.73,33.95522388059702,Otros
4009 Highlighters by Sanford,171.14,44,53.81,31.442094191889687,Otros
50 Colored Long Pencils,138.18,14,32.91,23.816760746851926,Otros
6  Cubicle Wall Clock  Black,124.59,19,26.22,21.045027690825908,Otros
9 3 4 Diameter Round Wall Clock,455.07,34,183.14,40.24435801085547,Otros
ACCOHIDE 3 Ring Binder  Blue  1 ,147.03,44,50.71,34.489559953750934,Otros
ACCOHIDE Binder by Acco,65.25,21,19.29,29.563218390804597,Otros
APC 7 Outlet Network SurgeArrest Surge Protector,1207.19,20,80.47999999999999,6.66672189133442,Trampa
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.96,14,-15.58,-7.181047197640118,Otros
AT T 1070 Corded Phone,1070.3,12,133.8,12.501167896851351,Otros
AT T 1080 Corded phone,1945.26,18,145.22,7.465325971849521,Trampa
AT T 1080 Phone,1589.08,13,271.24,17.068995896997006,Otros
AT T 17929 Lendline Telephone,1339.1100000000001,35,167.37,12.498599816295897,Otros
AT T 841000 Phone,1614.6,28,165.6,10.256410256410255,Otros
AT T CL2909,755.95,8,50.39999999999999,6.667107612937362,Otros
AT T CL82213,481.22999999999996,17,131.32999999999998,27.290484799368286,Otros
AT T CL83451 4 Handset Telephone,1936.3000000000002,10,473.78,24.468315860145633,Otros
AT T EL51110 DECT,377.97,3,109.61,28.999656057359047,Otros
AT T SB67148 SynJ,475.12,8,89.75,18.88996464051187,Otros
AT T TR1909W,1738.67,15,340.18,19.565529974060635,Otros
Aastra 57i VoIP phone,3684.72,26,575.33,15.61394081504158,Otros
Aastra 6757i CT Wireless VoIP phone,2929.98,16,482.59000000000003,16.47076089256582,Otros
Acco 3 Hole Punch,137.54,36,55.53,40.37370946633707,Otros
Acco 6 Outlet Guardian Basic Surge Suppressor,38.27,7,-3.66,-9.563626861771622,Otros
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.45,31,-113.78,-39.30903437553982,Otros
Acco 6 Outlet Guardian Premium Surge Suppressor,432.43,35,60.43,13.974516106653102,Otros
Acco 6 Outlet Guardian Standard Surge Suppressor,149.92000000000002,15,22.97,15.321504802561364,Otros
Acco 7 Outlet Masterpiece Power Center  Wihtout Fax Phone Line Protection,3039.5,31,401.21999999999997,13.200197400888303,Otros
Acco Banker s Clasps  5 3 4  Long,40.89,15,17.99,43.996087062851544,Oculto
Acco Clips to Go Binder Clips  24 Clips in Two Sizes,66.03,19,30.29,45.87308799030743,Oculto
Acco D Ring Binder w DublLock,235.18,31,-102.84,-43.72820818096777,Otros
Acco Data Flex Cable Posts For Top   Bottom Load Binders  6  Capacity,287.87,39,64.14,22.280890679820754,Otros
Acco Economy Flexible Poly Round Ring Binder,11.48,6,-5.74,-50.0,Otros
Acco Expandable Hanging Binders,38.92,11,1.0300000000000002,2.6464542651593015,Otros
Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1 2  X 14  7 8 ,409.99,36,111.28,27.142125417693112,Otros
